App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6001677,HDR,07/22/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006686,HDR,09/18/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6007637,HDR,09/28/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006118,HDR,09/12/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007027,HDR,09/21/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6002927,HDR,08/05/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6004849,HDR,08/27/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6008020,PDR,10/02/2022,Incomplete,Not Applicable,Not Applicable,Not Applicable,Needed,Not Applicable,Not Applicable,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003119,HDR,08/09/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5998990,HDR,06/20/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004431,HDR,08/23/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,10/20/2022 05:00:03 PM
6003358,HDR,08/10/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/20/2022 05:00:03 PM
6005381,HDR,09/02/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5988434,HDR,01/08/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
5997295,HDR,05/30/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6002933,HDR,08/05/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6003438,HDR,08/11/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6005447,HDR,09/04/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6006248,HDR,09/14/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5990214,HDR,02/12/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6003809,HDR,08/16/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008707,HDR,10/08/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6005246,HDR,09/01/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006020,HDR,09/12/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5995432,HDR,05/05/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6008455,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
5993725,HDR,04/10/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6009312,HDR,10/14/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008524,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6002042,HDR,07/26/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6006269,HDR,09/14/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5997537,HDR,06/02/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5996401,HDR,05/18/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6007972,HDR,10/01/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6006585,HDR,09/16/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6005272,HDR,09/01/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007276,HDR,09/24/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007720,HDR,09/29/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004835,HDR,08/26/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5997499,HDR,06/02/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006145,HDR,09/13/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6009381,HDR,10/15/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6000843,HDR,07/13/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5988860,HDR,01/16/2022,Pending Fitness Interview,09/22/2022,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6005015,HDR,08/29/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6005052,HDR,08/30/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6001793,HDR,07/24/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006781,HDR,09/19/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007326,HDR,09/24/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009842,HDR,10/20/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004683,HDR,08/25/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008128,HDR,10/03/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005797,HDR,09/08/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004933,HDR,08/29/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6006185,HDR,09/13/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6003941,HDR,08/17/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5992641,HDR,03/24/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5999433,HDR,06/25/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006968,HDR,09/21/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6001343,HDR,07/19/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007626,HDR,09/28/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6004837,HDR,08/26/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008086,HDR,10/03/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6000028,HDR,07/03/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006918,HDR,09/20/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5999401,HDR,06/24/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,10/20/2022 05:00:03 PM
6008131,HDR,10/03/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006240,HDR,09/14/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009399,HDR,10/15/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005793,HDR,09/08/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006267,HDR,09/14/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6009249,HDR,10/14/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004911,HDR,08/29/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5993416,HDR,04/05/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5995710,HDR,05/09/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5993401,HDR,04/05/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6008904,HDR,10/11/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6008946,HDR,10/11/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6005019,HDR,08/30/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6006306,HDR,09/14/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6006265,HDR,09/14/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6000878,HDR,07/13/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007482,HDR,09/26/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007934,HDR,09/30/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6002536,HDR,08/02/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,10/20/2022 05:00:03 PM
6003952,HDR,08/17/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008434,PDR,10/05/2022,Under Review,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Not Applicable,10/20/2022 05:00:03 PM
6006351,HDR,09/14/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5991699,HDR,03/09/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008388,HDR,10/05/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5991635,HDR,03/09/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5999507,HDR,06/27/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6007336,HDR,09/25/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6001128,HDR,07/16/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/20/2022 05:00:03 PM
6004108,HDR,08/18/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6002739,HDR,08/03/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006455,HDR,09/15/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5994798,HDR,04/26/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008536,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6000888,HDR,07/14/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6008063,HDR,10/03/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007990,HDR,10/01/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6002118,HDR,07/27/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6009332,HDR,10/14/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5996235,HDR,05/16/2022,Pending Fitness Interview,10/19/2022,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6005706,HDR,09/07/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6009053,HDR,10/12/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007218,HDR,09/23/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
5994900,HDR,04/27/2022,Pending Fitness Interview,08/23/2022,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008483,HDR,10/06/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6009779,HDR,10/19/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005074,HDR,08/30/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008433,HDR,10/05/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6006194,HDR,09/13/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5994441,HDR,04/21/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,10/20/2022 05:00:03 PM
6000852,HDR,07/13/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6009737,HDR,10/19/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004519,HDR,08/24/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6000179,HDR,07/05/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
5990397,HDR,02/16/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006061,HDR,09/12/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6007686,HDR,09/28/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008010,HDR,10/01/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006533,HDR,09/16/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5835813,HDR,11/29/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints & other items needed. Visit www.nyc.gov/tlcup,10/20/2022 05:00:03 PM
6004545,HDR,08/24/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6008912,HDR,10/11/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6009081,HDR,10/12/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5996550,HDR,05/19/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5990200,HDR,02/11/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6003705,HDR,08/15/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6004191,HDR,08/19/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5998052,HDR,06/08/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006401,HDR,09/15/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006400,HDR,09/15/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5995153,HDR,05/02/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5994645,HDR,04/24/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5997347,HDR,05/31/2022,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6009257,HDR,10/14/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6003138,HDR,08/09/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6006097,HDR,09/12/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6008754,HDR,10/09/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Not Applicable,10/20/2022 05:00:03 PM
6009738,HDR,10/19/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6000046,HDR,07/04/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004373,HDR,08/22/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6007547,HDR,09/27/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
6008751,HDR,10/09/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007524,HDR,09/27/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5995889,HDR,05/11/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6009263,HDR,10/14/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6007328,HDR,09/24/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5993223,HDR,04/02/2022,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005756,HDR,09/08/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5996238,HDR,05/16/2022,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
5997182,HDR,05/27/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008322,HDR,10/04/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6004447,HDR,08/23/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6007822,HDR,09/29/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5998873,HDR,06/17/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
5999542,HDR,06/27/2022,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6004175,HDR,08/19/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5998764,HDR,06/16/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006411,HDR,09/15/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6007443,HDR,09/26/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6003170,HDR,08/09/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
5993192,HDR,04/01/2022,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
5993805,HDR,04/11/2022,Denied,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6005874,HDR,09/09/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,10/20/2022 05:00:03 PM
5993447,HDR,04/05/2022,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6008116,HDR,10/03/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,10/20/2022 05:00:03 PM
6003289,HDR,08/10/2022,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006204,HDR,09/13/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Copy of DMV license needed,10/20/2022 05:00:03 PM
6001803,HDR,07/24/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/20/2022 05:00:03 PM
6006214,HDR,09/13/2022,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6007707,HDR,09/28/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,10/20/2022 05:00:03 PM
6006368,HDR,09/15/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
6006712,HDR,09/18/2022,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6001780,HDR,07/23/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints & other items needed. Visit www.nyc.gov/tlcup,10/20/2022 05:00:03 PM
6007960,HDR,09/30/2022,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Copy of DMV license needed,10/20/2022 05:00:03 PM
6008908,HDR,10/11/2022,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/20/2022 05:00:03 PM
6003422,HDR,08/11/2022,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/20/2022 05:00:03 PM
